DEMANDA INTERMEDIA
5763508.00
557481.67
407583.32
1582424.83
715253.17
6881641.14
1214788.73
1092363.14
34256.82
352523.10
246295.53
4882828.03
36519.67
1340048.11
2517354.80
28158.38
285001.01
531555.17
928155.17
1142119.26
445759.61
472826.81
403097.47
129661.55
125660.98
840301.89
37060.39
722181.60
202260.48
658088.24
56005.29
1926443.31
407051.38
837272.00
536789.53
419477.97
508929.68
26378.88
244271.29
860132.25
1418431.97
820395.59
1198762.96
879976.65
284523.21
1356267.63
1584133.39
3386910.65
1334386.58
1072522.32
1417197.11
854034.31
1310849.73
1029086.04
905680.86
300567.83
427111.67
407065.42
4309374.40
546884.56
479072.55
819237.14
883165.61
679948.18
3360311.04
768993.00
953597.40
793866.68
675196.13
522029.28
1718939.28
686526.53
711266.37
219552.35
339943.22
434606.70
87095.12
236267.16
236415.35
426069.46
227803.57
279482.59
306930.04
126382.62
279193.11
1386004.10
140274.50
1382053.94
294191.80
10557.46
728679.94
317739.68
5203765.67
1045030.56
462144.50
2881288.50
6552000.71
4398257.47
611480.40
839133.31
1499479.75
6541169.91
735191.86
156465.20
554086.92
2213662.43
831000.47
3816758.27
8677605.24
776749.44
16897275.81
6411806.95
1364934.01
0.00
662685.38
0.00
1976866.09
27422.99
0.00
27389.75
515534.10
1304582.61
5117307.95
